month,day,day of the year,unleaded (gallons),unleaded H2 (kg),diesel (gallons),diesel H2 (kg),E85 (gallons),E85 H2 (kg)
1,1,1,0,0,0,0,0,0
1,2,2,263.1,263.1,82.3,92.999,50.2,39.156
1,3,3,461.81,461.81,34.2,38.646,79.8,62.244
1,4,4,394.49,394.49,16.1,18.193,136.1,106.158
1,5,5,7.4,7.4,0,0,0,0
1,6,6,26.8,26.8,0,0,0,0
1,7,7,537.76,537.76,0,0,37.47,29.2266
1,8,8,196,196,78.4,88.592,74.4,58.032
1,9,9,332.84,332.84,61.6,69.608,168.25,131.235
1,10,10,405.1,405.1,152.7,172.551,48.1,37.518
1,11,11,463.6,463.6,71.8,81.134,130.7,101.946
1,12,12,44.6,44.6,91.8,103.734,0,0
1,13,13,57.6,57.6,0,0,10.9,8.502
1,14,14,422.5,422.5,101.2,114.356,69.8,54.444
1,15,15,415.53,415.53,62.1,70.173,164.5,128.31
1,16,16,382.605,382.605,117.01,132.2213,121.43,94.7154
1,17,17,359.9,359.9,100.8,113.904,110,85.8
1,18,18,421.05,421.05,97.6,110.288,119.1,92.898
1,19,19,97.9,97.9,212.9,240.577,0,0
1,20,20,0,0,0,0,10.3,8.034
1,21,21,0,0,0,0,0,0
1,22,22,390.5,390.5,167.2,188.936,195.34,152.3652
1,23,23,302.3,302.3,13,14.69,67.3,52.494
1,24,24,336.2,336.2,85,96.05,60.3,47.034
1,25,25,438.9,438.9,150,169.5,147.4,114.972
1,26,26,24.7,24.7,10,11.3,0,0
1,27,27,0,0,0,0,0,0
1,28,28,566.3,566.3,103,116.39,173.8,135.564
1,29,29,492.2,492.2,59.7,67.461,134.3,104.754
1,30,30,307.4,307.4,0,0,106.32,82.9296
1,31,31,410.2,410.2,173,195.49,0,0
2,1,32,431.5,431.5,112.9,127.577,163.4,127.452
2,2,33,0,0,0,0,0,0
2,3,34,17.9,17.9,0,0,0,0
2,4,35,345.62,345.62,55.52,62.7376,140.2,109.356
2,5,36,454.83,454.83,40.4,45.652,148.7,115.986
2,6,37,377.7,377.7,83.9,94.807,50.9,39.702
2,7,38,343.3,343.3,78.3,88.479,86.1,67.158
2,8,39,329.3,329.3,41.5,46.895,140.8,109.824
2,9,40,19.2,19.2,36,40.68,25,19.5
2,10,41,16.2,16.2,0,0,0,0
2,11,42,330.7,330.7,70.8,80.004,120,93.6
2,12,43,231.7,231.7,76.7,86.671,106.7,83.226
2,13,44,341,341,43.48,49.1324,70.8,55.224
2,14,45,326.3,326.3,170.6,192.778,95,74.1
2,15,46,466.64,466.64,67.3,76.049,58.8,45.864
2,16,47,19.5,19.5,0,0,0,0
2,17,48,27.2,27.2,0,0,0,0
2,18,49,382.6,382.6,0,0,137.1,106.938
2,19,50,309.4,309.4,151.4,171.082,110.2,85.956
2,20,51,309,309,68.9,77.857,194.1,151.398
2,21,52,565.36,565.36,130.6,147.578,124.1,96.798
2,22,53,292.43,292.43,50.4,56.952,54,42.12
2,23,54,5.2,5.2,0,0,0,0
2,24,55,0,0,0,0,0,0
2,25,56,356.77,356.77,65.6,74.128,102.2,79.716
2,26,57,391.83,391.83,93,105.09,0,0
2,27,58,354.06,354.06,103.4,116.842,82.9,64.662
2,28,59,409.64,409.64,88.6,100.118,75.5,58.89
3,1,60,255.6,255.6,134.6,152.098,88.8,69.264
3,2,61,0,0,0,0,0,0
3,3,62,0,0,0,0,0,0
3,4,63,609.36,609.36,52.8,59.664,125.3,97.734
3,5,64,435.66,435.66,62.8,70.964,130.14,101.5092
3,6,65,270.33,270.33,0,0,73.8,57.564
3,7,66,581.24,581.24,168.5,190.405,46.7,36.426
3,8,67,227.3,227.3,49.3,55.709,221,172.38
3,9,68,5.6,5.6,0,0,0,0
3,10,69,3,3,0,0,0,0
3,11,70,415.9,415.9,44.9,50.737,161.51,125.9778
3,12,71,369.6,369.6,56.5,63.845,74.7,58.266
3,13,72,266.08,266.08,76,85.88,95.6,74.568
3,14,73,307.3,307.3,65.9,74.467,87.8,68.484
3,15,74,347.28,347.28,68.1,76.953,101.6,79.248
3,16,75,0,0,0,0,25,19.5
3,17,76,0,0,0,0,0,0
3,18,77,569.7,569.7,101.8,115.034,74.5,58.11
3,19,78,264.65,264.65,65.4,73.902,47.8,37.284
3,20,79,342.6,342.6,156.8,177.184,39,30.42
3,21,80,277,277,121.1,136.843,174.3,135.954
3,22,81,216.1,216.1,38.1,43.053,85,66.3
3,23,82,51.9,51.9,0,0,0,0
3,24,83,0,0,0,0,0,0
3,25,84,366.8,366.8,54,61.02,65.6,51.168
3,26,85,314.7,314.7,0,0,55.6,43.368
3,27,86,279.9,279.9,41,46.33,118.4,92.352
3,28,87,443.1,443.1,145.2,164.076,85.5,66.69
3,29,88,317.9,317.9,19,21.47,38.1,29.718
3,30,89,0,0,34.1,38.533,0,0
3,31,90,0,0,0,0,0,0
4,1,91,327.55,327.55,77.2,87.236,127.2,99.216
4,2,92,376.3,376.3,82.5,93.225,41.1,32.058
4,3,93,315.7,315.7,49.6,56.048,174.2,135.876
4,4,94,555.4,555.4,75.5,85.315,73.9,57.642
4,5,95,382.02,382.02,85.2,96.276,94.7,73.866
4,6,96,0,0,0,0,0,0
4,7,97,0,0,0,0,0,0
4,8,98,299.2,299.2,0,0,95.2,74.256
4,9,99,273.8,273.8,15.5,17.515,55.51,43.2978
4,10,100,297.8,297.8,0,0,83.2,64.896
4,11,101,218.1,218.1,115.9,130.967,57.5,44.85
4,12,102,365.8,365.8,47.5,53.675,99.6,77.688
4,13,103,0,0,33.8,38.194,0,0
4,14,104,0,0,0,0,0,0
4,15,105,390.02,390.02,49.1,55.483,106.3,82.914
4,16,106,227.9,227.9,29.9,33.787,125.6,97.968
4,17,107,321.6,321.6,48.7,55.031,59.9,46.722
4,18,108,233.1,233.1,67.81,76.6253,47.8,37.284
4,19,109,305.7,305.7,8.3,9.379,101,78.78
4,20,110,0,0,0,0,0,0
4,21,111,0,0,0,0,15.3,11.934
4,22,112,418.82,418.82,103,116.39,143,111.54
4,23,113,242.2,242.2,102.1,115.373,94.5,73.71
4,24,114,402.16,402.16,31.9,36.047,124.3,96.954
4,25,115,148.2,148.2,122.09,137.9617,138.9,108.342
4,26,116,488.2,488.2,11.25,12.7125,93.5,72.93
4,27,117,0,0,0,0,0,0
4,28,118,17.1,17.1,0,0,0,0
4,29,119,302.42,302.42,83,93.79,107.4,83.772
4,30,120,320.9,320.9,121.8,137.634,20,15.6
5,1,121,349.5,349.5,33.6,37.968,68.8,53.664
5,2,122,293.02,293.02,50.8,57.404,36.9,28.782
5,3,123,251.8,251.8,94.4,106.672,73.5,57.33
5,4,124,0,0,26.3,29.719,0,0
5,5,125,36.4,36.4,0,0,0,0
5,6,126,433.32,433.32,66.1,74.693,128.5,100.23
5,7,127,390,390,30.3,34.239,54.2,42.276
5,8,128,214.1,214.1,161.8,182.834,0,0
5,9,129,380.9,380.9,138,155.94,86,67.08
5,10,130,295.3,295.3,0,0,83.34,65.0052
5,11,131,0,0,0,0,8.8,6.864
5,12,132,33.8,33.8,0,0,34.1,26.598
5,13,133,254,254,110.1,124.413,99.7,77.766
5,14,134,269.2,269.2,49.9,56.387,190.6,148.668
5,15,135,319.1,319.1,14.2,16.046,78.51,61.2378
5,16,136,280.2,280.2,29.2,32.996,108.5,84.63
5,17,137,231.6,231.6,56.9,64.297,89.6,69.888
5,18,138,0,0,0,0,0,0
5,19,139,0,0,0,0,0,0
5,20,140,290.4,290.4,61.5,69.495,87.4,68.172
5,21,141,335,335,86.1,97.293,84.6,65.988
5,22,142,425.8,425.8,18,20.34,37.8,29.484
5,23,143,292.9,292.9,35.1,39.663,45.6,35.568
5,24,144,267.8,267.8,0,0,151.5,118.17
5,25,145,16,16,0,0,0,0
5,26,146,22.8,22.8,98.6,111.418,0,0
5,27,147,0,0,0,0,0,0
5,28,148,196.7,196.7,39.8,44.974,108.7,84.786
5,29,149,436.55,436.55,39.2,44.296,49.9,38.922
5,30,150,325.8,325.8,40.5,45.765,75.8,59.124
5,31,151,235.7,235.7,70.3,79.439,95.3,74.334
6,1,152,15.6,15.6,0,0,0,0
6,2,153,0,0,0,0,0,0
6,3,154,268.89,268.89,131.6,148.708,169.3,132.054
6,4,155,336.5,336.5,75.3,85.089,51.9,40.482
6,5,156,482.12,482.12,82,92.66,57.9,45.162
6,6,157,477.83,477.83,48.1,54.353,135.5,105.69
6,7,158,384.73,384.73,78.4,88.592,80.5,62.79
6,8,159,0,0,25.7,29.041,0,0
6,9,160,0,0,0,0,0,0
6,10,161,342.23,342.23,54.4,61.472,107,83.46
6,11,162,307.35,307.35,44.85,50.6805,109.3,85.254
6,12,163,423.7,423.7,128.3,144.979,91.9,71.682
6,13,164,227.4,227.4,78.4,88.592,32.1,25.038
6,14,165,280.3,280.3,72.7,82.151,12.4,9.672
6,15,166,13.6,13.6,0,0,0,0
6,16,167,0,0,0,0,0,0
6,17,168,330.2,330.2,125.7,142.041,129.7,101.166
6,18,169,156.8,156.8,13.3,15.029,22.1,17.238
6,19,170,567.75,567.75,91.4,103.282,151.18,117.9204
6,20,171,303.7,303.7,16,18.08,58.4,45.552
6,21,172,325.6,325.6,84.2,95.146,95.5,74.49
6,22,173,37.5,37.5,31.4,35.482,0,0
6,23,174,0,0,0,0,0,0
6,24,175,338.8,338.8,12.6,14.238,78.9,61.542
6,25,176,229.17,229.17,73.3,82.829,132.7,103.506
6,26,177,318.9,318.9,13.6,15.368,58.8,45.864
6,27,178,367.4,367.4,35.6,40.228,42.6,33.228
6,28,179,486.4,486.4,135.6,153.228,98.1,76.518
6,29,180,51.4,51.4,0,0,0,0
6,30,181,0,0,0,0,0,0
7,1,182,261.4,261.4,65.3,73.789,182.5,142.35
7,2,183,346.5,346.5,104.2,117.746,62.5,48.75
7,3,184,269.5,269.5,69.1,78.083,0,0
7,4,185,0,0,0,0,0,0
7,5,186,195.9,195.9,23.1,26.103,0,0
7,6,187,0,0,0,0,0,0
7,7,188,13.5,13.5,0,0,0,0
7,8,189,503.75,503.75,54.3,61.359,0,0
7,9,190,387.1,387.1,50,56.5,0,0
7,10,191,356.8,356.8,32.9,37.177,0,0
7,11,192,301.9,301.9,34,38.42,0,0
7,12,193,493.29,493.29,130.7,147.691,112.82,87.9996
7,13,194,49.5,49.5,0,0,0,0
7,14,195,0,0,0,0,0,0
7,15,196,416.42,416.42,154,174.02,0,0
7,16,197,626.58,626.58,60.8,68.704,0,0
7,17,198,717.36,717.36,39.8,44.974,0,0
7,18,199,704.42,704.42,19.43,21.9559,0,0
7,19,200,727.98,727.98,145.4,164.302,0,0
7,20,201,52.2,52.2,0,0,0,0
7,21,202,0,0,0,0,0,0
7,22,203,425.41,425.41,54.8,61.924,0,0
7,23,204,431.41,431.41,49.6,56.048,0,0
7,24,205,447.45,447.45,42.6,48.138,0,0
7,25,206,430.48,430.48,32.8,37.064,0,0
7,26,207,367.9,367.9,100.1,113.113,0,0
7,27,208,21.8,21.8,0,0,0,0
7,28,209,0,0,0,0,0,0
7,29,210,234.1,234.1,51.5,58.195,0,0
7,30,211,454.65,454.65,0,0,80.4,62.712
7,31,212,591.77,591.77,95.2,107.576,91.8,71.604
8,1,213,231.75,231.75,0,0,45,35.1
8,2,214,430.96,430.96,142.4,160.912,71.17,55.5126
8,3,215,21.5,21.5,0,0,11,8.58
8,4,216,41.4,41.4,0,0,0,0
8,5,217,249.5,249.5,84.3,95.259,102.5,79.95
8,6,218,343.3,343.3,185.7,209.841,31.1,24.258
8,7,219,324.8,324.8,0,0,49.3,38.454
8,8,220,389.4,389.4,161.54,182.5402,116.5,90.87
8,9,221,350.2,350.2,69,77.97,155.4,121.212
8,10,222,0,0,33.8,38.194,0,0
8,11,223,0,0,0,0,0,0
8,12,224,507.58,507.58,18.9,21.357,131.7,102.726
8,13,225,219.9,219.9,39,44.07,104.33,81.3774
8,14,226,387,387,161.3,182.269,64.2,50.076
8,15,227,355.6,355.6,33.3,37.629,84.9,66.222
8,16,228,281.7,281.7,72,81.36,73.2,57.096
8,17,229,37.1,37.1,0,0,0,0
8,18,230,0,0,0,0,0,0
8,19,231,515.4,515.4,0,0,81.2,63.336
8,20,232,409.9,409.9,64.9,73.337,110.7,86.346
8,21,233,269.5,269.5,83.4,94.242,26.3,20.514
8,22,234,365.9,365.9,0,0,138.9,108.342
8,23,235,131.5,131.5,85.1,96.163,160.7,125.346
8,24,236,30.1,30.1,36.2,40.906,0,0
8,25,237,0,0,36.9,41.697,0,0
8,26,238,512.63,512.63,67.47,76.2411,68.6,53.508
8,27,239,440.7,440.7,47.6,53.788,193.2,150.696
8,28,240,397.2,397.2,65.4,73.902,12.6,9.828
8,29,241,507.15,507.15,47,53.11,39.4,30.732
8,30,242,302.05,302.05,66.9,75.597,59.5,46.41
8,31,243,45.1,45.1,0,0,0,0
9,1,244,0,0,7.9,8.927,0,0
9,2,245,0,0,0,0,0,0
9,3,246,423.9,423.9,0,0,229.6,179.088
9,4,247,237.45,237.45,115.48,130.4924,94.5,73.71
9,5,248,357.31,357.31,178.6,201.818,127.3,99.294
9,6,249,305.2,305.2,72.5,81.925,150.5,117.39
9,7,250,0,0,0,0,0,0
9,8,251,20.5,20.5,17.2,19.436,0,0
9,9,252,366.7,366.7,33.5,37.855,100.3,78.234
9,10,253,315.89,315.89,130,146.9,149.2,116.376
9,11,254,387.9,387.9,0,0,70.4,54.912
9,12,255,442.1,442.1,70.8,80.004,81.9,63.882
9,13,256,354.9,354.9,84,94.92,90.9,70.902
9,14,257,26.5,26.5,0,0,0,0
9,15,258,21.2,21.2,0,0,0,0
9,16,259,352.2,352.2,0,0,148.2,115.596
9,17,260,452.11,452.11,105.9,119.667,57,44.46
9,18,261,359.9,359.9,31.2,35.256,57.1,44.538
9,19,262,314.9,314.9,114.2,129.046,117.3,91.494
9,20,263,330.9,330.9,40.9,46.217,35.6,27.768
9,21,264,94.6,94.6,0,0,23.1,18.018
9,22,265,60.6,60.6,0,0,0,0
9,23,266,305.6,305.6,27.2,30.736,109.3,85.254
9,24,267,293,293,0,0,123.82,96.5796
9,25,268,503.46,503.46,192.1,217.073,128.89,100.5342
9,26,269,308.6,308.6,81.3,91.869,78.6,61.308
9,27,270,457.3,457.3,96.5,109.045,68.9,53.742
9,28,271,51,51,0,0,0,0
9,29,272,0,0,0,0,0,0
9,30,273,306.1,306.1,43.1,48.703,158.9,123.942
10,1,274,328.1,328.1,48.7,55.031,22.7,17.706
10,2,275,459.63,459.63,120.9,136.617,50.5,39.39
10,3,276,337,337,24.56,27.7528,113.1,88.218
10,4,277,379.16,379.16,45.6,51.528,105.3,82.134
10,5,278,0,0,0,0,0,0
10,6,279,22.7,22.7,34.2,38.646,0,0
10,7,280,162,162,0,0,82.4,64.272
10,8,281,371.9,371.9,59,66.67,37.8,29.484
10,9,282,343.73,343.73,14.5,16.385,42.2,32.916
10,10,283,360.8,360.8,68.2,77.066,110.2,85.956
10,11,284,257.1,257.1,106,119.78,127.4,99.372
10,12,285,54,54,0,0,0,0
10,13,286,39.3,39.3,0,0,0,0
10,14,287,357.9,357.9,41.1,46.443,85,66.3
10,15,288,338.45,338.45,71.6,80.908,36.8,28.704
10,16,289,388.08,388.08,43.8,49.494,128.74,100.4172
10,17,290,468.39,468.39,67.4,76.162,120.9,94.302
10,18,291,234.4,234.4,53.8,60.794,57.2,44.616
10,19,292,14.9,14.9,0,0,0,0
10,20,293,0,0,0,0,0,0
10,21,294,421.5,421.5,128.9,145.657,186.8,145.704
10,22,295,336,336,102.1,115.373,50.6,39.468
10,23,296,287.2,287.2,62.7,70.851,134.4,104.832
10,24,297,361.8,361.8,127.3,143.849,42.4,33.072
10,25,298,373.9,373.9,17.9,20.227,70.7,55.146
10,26,299,12.9,12.9,0,0,0,0
10,27,300,0,0,18.9,21.357,11.2,8.736
10,28,301,336.17,336.17,204.6,231.198,53,41.34
10,29,302,475.8,475.8,30.03,33.9339,106.6,83.148
10,30,303,214.9,214.9,98.55,111.3615,82.5,64.35
10,31,304,38.4,38.4,0,0,16.9,13.182
11,1,305,0,0,0,0,0,0
11,2,306,0,0,0,0,0,0
11,3,307,0,0,0,0,0,0
11,4,308,207.7,207.7,49.4,55.822,105.8,82.524
11,5,309,353.7,353.7,34.6,39.098,101.3,79.014
11,6,310,306.3,306.3,71.9,81.247,61.4,47.892
11,7,311,360.24,360.24,119.54,135.0802,45.1,35.178
11,8,312,829.76,829.76,296.33,334.8529,277.85,216.723
11,9,313,85.7,85.7,0,0,0,0
11,10,314,0,0,0,0,0,0
11,11,315,602.68,602.68,148.22,167.4886,157.83,123.1074
11,12,316,526.9,526.9,80.2,90.626,73,56.94
11,13,317,280.1,280.1,71.3,80.569,98.7,76.986
11,14,318,364.75,364.75,15.5,17.515,254.79,198.7362
11,15,319,410.4,410.4,104.4,117.972,107,83.46
11,16,320,48.9,48.9,0,0,0,0
11,17,321,0,0,0,0,0,0
11,18,322,390.7,390.7,18.6,21.018,128.6,100.308
11,19,323,282.6,282.6,37.4,42.262,23.2,18.096
11,20,324,289.1,289.1,95.8,108.254,77.3,60.294
11,21,325,572.5,572.5,44.89,50.7257,87,67.86
11,22,326,325.6,325.6,113.3,128.029,148.5,115.83
11,23,327,23.9,23.9,22.8,25.764,0,0
11,24,328,0,0,0,0,0,0
11,25,329,410.3,410.3,0,0,111.3,86.814
11,26,330,322.8,322.8,80,90.4,159,124.02
11,27,331,261.9,261.9,26.2,29.606,148.4,115.752
11,28,332,0,0,0,0,0,0
11,29,333,0,0,0,0,0,0
11,30,334,21.4,21.4,0,0,0,0
12,1,335,0,0,0,0,0,0
12,2,336,493.7,493.7,59.92,67.7096,77.6,60.528
12,3,337,223.3,223.3,69.2,78.196,97.9,76.362
12,4,338,326.38,326.38,110.26,124.5938,125.3,97.734
12,5,339,510.2,510.2,73.2,82.716,88.4,68.952
12,6,340,375.7,375.7,128.5,145.205,61.6,48.048
12,7,341,111.7,111.7,0,0,0,0
12,8,342,0,0,0,0,0,0
12,9,343,403.7,403.7,98,110.74,0,0
12,10,344,593.67,593.67,22.8,25.764,148,115.44
12,11,345,351.2,351.2,45.8,51.754,97.8,76.284
12,12,346,351.5,351.5,30.7,34.691,69.1,53.898
12,13,347,332.1,332.1,33.1,37.403,130,101.4
12,14,348,63.3,63.3,26.8,30.284,16.4,12.792
12,15,349,19.2,19.2,0,0,0,0
12,16,350,395.5,395.5,130.27,147.2051,81.7,63.726
12,17,351,438.9,438.9,219.4,247.922,133.6,104.208
12,18,352,393.3,393.3,95.4,107.802,84,65.52
12,19,353,414.7,414.7,47.4,53.562,52.5,40.95
12,20,354,236.5,236.5,0,0,76.8,59.904
12,21,355,0,0,0,0,25,19.5
12,22,356,24.4,24.4,0,0,14,10.92
12,23,357,406.7,406.7,0,0,99.8,77.844
12,24,358,0,0,0,0,0,0
12,25,359,0,0,0,0,0,0
12,26,360,0,0,0,0,0,0
12,27,361,89.8,89.8,39.6,44.748,50,39
12,28,362,0,0,0,0,0,0
12,29,363,0,0,0,0,0,0
12,30,364,140,140,31.7,35.821,65.2,50.856
12,31,365,63.6,63.6,0,0,90.6,70.668
