year,consumption(barrels),change
1986,7034.00,NA
1987,7206.00,2.45%
1988,7336.00,1.80%
1989,7328.00,-0.11%
1990,7235.00,-1.27%
1991,7188.00,-0.65%
1992,7268.00,1.11%
1993,7476.00,2.86%
1994,7601.00,1.67%
1995,7789.00,2.47%
1996,7891.00,1.31%
1997,8017.00,1.60%
1998,8253.00,2.94%
1999,8431.00,2.16%
2000,8472.00,0.49%
2001,8610.00,1.63%
2002,8848.00,2.76%
2003,8935.00,0.98%
2004,9105.00,1.90%
2005,9159.00,0.59%
2006,9253.00,1.03%
2007,9286.00,0.36%
2008,8989.00,-3.20%
2009,8997.00,0.09%
2010,8993.00,-0.04%
2011,8753.00,-2.67%
2012,8682.00,-0.81%