Temperature(C),Pressure(atm),Density(kg/m3),InternalEnergy(kJ/kg),Enthalpy(kJ/kg),Cv(J/g*K),Cp(J/g*K),Phase
20,25,999.32,83.758,86.293,4.148,4.1765,liquid
40,25,993.28,167.22,169.77,4.0665,4.1735,liquid
60,25,984.26,250.72,253.29,3.9709,4.1796,liquid
80,25,972.88,334.39,336.99,3.8683,4.1915,liquid
100,25,959.49,418.35,420.99,3.7644,4.2101,liquid
120,25,944.27,502.77,505.45,3.6632,4.2376,liquid
140,25,927.31,587.84,590.57,3.5671,4.2762,liquid
160,25,908.59,673.8,676.59,3.4771,4.3285,liquid
180,25,888.02,760.97,763.83,3.3938,4.3981,liquid
200,25,865.4,849.74,852.67,3.3173,4.4901,liquid
220,25,840.41,940.62,943.64,3.2477,4.6129,liquid
224.65,25,834.2,962.13,965.17,3.2326,4.6473,liquid
224.65,25,12.672,2602.2,2802.1,2.2539,3.4188,vapor
240,25,12.022,2639.8,2850.5,2.0084,2.9645,vapor
260,25,11.33,2683.3,2906.8,1.8726,2.6934,vapor
280,25,10.751,2723.4,2959,1.7963,2.5352,vapor
300,25,10.252,2761.5,3008.6,1.7485,2.4322,vapor
320,25,9.8114,2798.3,3056.5,1.7183,2.3624,vapor
340,25,9.4177,2834.3,3103.2,1.6997,2.3143,vapor
360,25,9.0619,2869.6,3149.2,1.6889,2.281,vapor
380,25,8.7373,2904.6,3194.5,1.6837,2.2579,vapor
400,25,8.4394,2939.4,3239.5,1.6825,2.2424,vapor
420,25,8.1642,2974,3284.3,1.6844,2.2326,vapor
440,25,7.9088,3008.6,3328.9,1.6885,2.2269,vapor
460,25,7.6709,3043.1,3373.4,1.6944,2.2246,vapor
480,25,7.4485,3077.8,3417.9,1.7017,2.225,vapor
500,25,7.2398,3112.5,3462.4,1.7101,2.2274,vapor
520,25,7.0436,3147.3,3507,1.7194,2.2315,vapor
540,25,6.8585,3182.3,3551.7,1.7295,2.2371,vapor
560,25,6.6837,3217.5,3596.5,1.7402,2.2438,vapor
580,25,6.5181,3252.8,3641.4,1.7514,2.2516,vapor
600,25,6.3611,3288.3,3686.5,1.763,2.2601,vapor
620,25,6.2119,3324,3731.8,1.775,2.2694,vapor
640,25,6.0698,3360,3777.3,1.7873,2.2792,vapor
660,25,5.9345,3396.1,3823,1.7998,2.2895,vapor
680,25,5.8053,3432.5,3868.9,1.8126,2.3003,vapor
700,25,5.6818,3469.2,3915,1.8255,2.3114,vapor
720,25,5.5637,3506.1,3961.4,1.8385,2.3228,vapor
740,25,5.4506,3543.2,4007.9,1.8516,2.3345,vapor
760,25,5.3422,3580.6,4054.7,1.8649,2.3463,vapor
780,25,5.2381,3618.2,4101.8,1.8781,2.3584,vapor
800,25,5.1381,3656.1,4149.1,1.8914,2.3705,vapor
820,25,5.042,3694.2,4196.6,1.9047,2.3828,vapor
840,25,4.9495,3732.6,4244.4,1.918,2.3951,vapor
860,25,4.8604,3771.2,4292.4,1.9312,2.4074,vapor
880,25,4.7745,3810.1,4340.7,1.9444,2.4198,vapor
900,25,4.6917,3849.3,4389.2,1.9575,2.4322,vapor
920,25,4.6118,3888.7,4438,1.9706,2.4446,vapor
940,25,4.5346,3928.4,4487,1.9835,2.4569,vapor
960,25,4.46,3968.3,4536.2,1.9964,2.4692,vapor
980,25,4.3878,4008.4,4585.7,2.0092,2.4814,vapor
1000,25,4.318,4048.9,4635.5,2.0219,2.4935,vapor